category,metric,value,level
geometry,cell_count,14736,
geometry,vertex_count,7371,
geometry,edge_count,22104,
geometry,cell_area_mean,34615.98399890041,
geometry,cell_area_cv,0.7630719356441835,
geometry,cell_area_ratio,77.32899213141029,
geometry,edge_length_km_min,35.89973439161045,
geometry,edge_length_km_mean,252.31669788404227,
geometry,cell_edge_length_cv_max,0.29195258226940657,
geometry,min_angle_deg,28.1208842023318,
geometry,max_angle_deg,123.59812325381203,
geometry,angle_deviation_deg_max,63.59498806390581,
geometry,triangle_eta_local_min,0.5650472664319593,
geometry,triangle_nsr_local_min,0.4184937562052617,
geometry,aspect_ratio_max,2.0977466038023787,
geometry,compactness_min,0.3697188879167965,
geometry,local_shape_metric_sample_count,14736,
geometry,local_shape_metric_excluded_cell_count,0,
geometry,zero_area_cell_count,0,
geometry,self_intersection_count,0,
geometry,invalid_polygon_count,0,
topology,euler_characteristic,2,
topology,euler_characteristic_mismatch_count,0,
topology,connected_component_count,1,
topology,non_manifold_vertex_fan_count,0,
topology,invalid_vertex_index_count,0,
topology,invalid_cell_index_count,0,
topology,duplicate_edge_count,0,
topology,dangling_edge_count,0,
topology,boundary_edge_count,0,
topology,boundary_loop_count,0,
topology,boundary_vertex_degree_violation_count,0,
topology,misoriented_shared_edge_count,0,
topology,neighbor_degree_mismatch_count,0,
topology,orphan_cell_count,0,
topology,neighbor_reciprocity_failure_count,0,
topology,abnormal_polygon_edge_count,0,
topology,triangle_cell_count,14736,
topology,quadrilateral_cell_count,0,
topology,pentagon_cell_count,0,
topology,hexagon_cell_count,0,
topology,heptagon_cell_count,0,
topology,other_polygon_cell_count,0,
topology,isolated_refined_cell_count,0,
topology,max_adjacent_resolution_ratio,2,
topology,transition_continuity_warning_count,0,
gate,invalid_vertex_index_count,0,pass
gate,invalid_cell_index_count,0,pass
gate,duplicate_edge_count,0,pass
gate,dangling_edge_count,0,pass
gate,misoriented_shared_edge_count,0,pass
gate,neighbor_degree_mismatch_count,0,pass
gate,orphan_cell_count,0,pass
gate,neighbor_reciprocity_failure_count,0,pass
gate,abnormal_polygon_edge_count,0,pass
gate,boundary_vertex_degree_violation_count,0,pass
gate,self_intersection_count,0,pass
gate,invalid_polygon_count,0,pass
gate,zero_area_cell_count,0,pass
gate,negative_area_cell_count,0,pass
gate,non_finite_cell_count,0,pass
gate,min_angle_deg,28.1208842023318,pass
gate,aspect_ratio_max,2.0977466038023787,pass
gate,cell_edge_length_cv_max,0.29195258226940657,pass
gate,angle_deviation_deg_max,63.59498806390581,warn
gate,cell_area_cv,0.7630719356441835,pass
gate,cell_area_ratio,77.32899213141029,pass
gate,max_adjacent_resolution_ratio,2,pass
gate,transition_continuity_warning_count,0,pass
gate,isolated_refined_cell_count,0,pass
refine_level,0:cell_count,8183,
refine_level,0:cell_area_cv,0.0594381866895386,
refine_level,0:cell_edge_length_cv_max,0.1010960342877015,
refine_level,0:angle_deviation_deg_max,12.771985499010441,
refine_level,0:triangle_eta_local_min,0.9616819501742239,
refine_level,0:triangle_nsr_local_min,0.958992130615054,
refine_level,1:cell_count,6553,
refine_level,1:cell_area_cv,1.0993587144025079,
refine_level,1:cell_edge_length_cv_max,0.29195258226940657,
refine_level,1:angle_deviation_deg_max,63.59498806390581,
refine_level,1:triangle_eta_local_min,0.5650472664319593,
refine_level,1:triangle_nsr_local_min,0.4184937562052617,
summary,cell_view,,tri
summary,verdict,,warn
